name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes
Brad Gumm,10,6,1,180.34,77.11,182.88,Orthodox,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Diaz,11,4,1,177.8,65.77,182.88,Southpaw,1988-04-26,0.48,42.0,3.84,51.0,2.4,50.0,0.0,0.0
Jordan Radev,23,5,0,170.18,83.91,182.88,Southpaw,1976-09-28,1.35,23.0,2.38,66.0,0.0,0.0,80.0,0.0
Tadao Yasuda,2,4,0,193.04,140.61,182.88,Orthodox,1963-10-09,2.7,73.0,0.85,60.0,0.75,14.0,0.0,0.0
Young Hwang,8,5,0,175.26,61.23,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xue Do Won,0,1,0,170.18,74.84,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Andersen,14,8,1,187.96,104.33,182.88,Southpaw,1971-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estefani Almeida,7,3,0,162.56,56.7,182.88,Orthodox,1988-10-17,3.13,37.0,6.07,42.0,0.0,0.0,0.0,0.0
Kevin Roddy,15,16,1,180.34,65.77,182.88,Unknown,1900-01-01,2.64,30.0,2.38,60.0,0.0,0.0,50.0,0.0
David Avellan,2,1,0,175.26,83.91,182.88,Orthodox,1900-01-01,3.33,25.0,10.0,57.0,0.0,0.0,0.0,0.0
Ashkan Mokhtarian,13,3,0,167.64,56.7,170.18,Southpaw,1985-09-15,1.95,43.0,3.66,43.0,0.54,16.0,33.0,0.0
Koyomi Matsushima,13,6,0,170.18,65.77,167.64,Orthodox,1992-10-08,2.7,47.0,2.83,59.0,9.0,52.0,33.0,0.0
Marco Ruas,9,4,2,185.42,95.25,182.88,Orthodox,1961-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brett Rogers,17,10,0,195.58,120.2,205.74,Orthodox,1981-02-17,3.17,44.0,3.2,46.0,0.0,0.0,58.0,0.0
Brianna Fortino,9,3,0,152.4,52.16,157.48,Southpaw,1993-08-04,3.53,41.0,3.23,57.0,2.5,45.0,66.0,0.0
Devin Cole,20,10,1,193.04,108.86,182.88,Orthodox,1976-10-01,3.5,55.0,2.14,48.0,2.18,42.0,66.0,0.0
Ryan Stonitsch,8,1,0,175.26,77.11,182.88,Southpaw,1977-02-03,2.53,36.0,2.53,71.0,0.0,0.0,0.0,0.0
